No.,Vulnerability Title,Stage,Reason,Vulnerability ID,Severity,Affected Versions,CVE,CWE,Vulnerability Link,Vulnerability Link（超链接）
11,OC-19: Unsanitized CWD path injection into LLM prompts,Execution Stage,漏洞涉及将未净化的路径注入到LLM提示中，可能触发命令执行或解释器处理，属于执行阶段的代码/命令注入问题。,GHSA-2QJ5-GWG2-XWC4,High,< 2026.2.15,CVE-2026-27001,CWE-77,https://github.com/openclaw/openclaw/security/advisories/GHSA-2qj5-gwg2-xwc4,Vulnerability Link
12,Improper X-Forwarded-For parsing behind trusted proxies allows client IP spoofing in security decisions,Authentication & Authorization Decision Stage,漏洞涉及在安全决策中错误地信任了被伪造的客户端IP，影响身份或权限判断。,GHSA-2RGF-HM63-5QPH,Low,<= 2026.2.19-2,,CWE-345; CWE-807,https://github.com/openclaw/openclaw/security/advisories/GHSA-2rgf-hm63-5qph,Vulnerability Link
13,HTML injection via unvalidated image MIME type in data-URL interpolation,Persistence & Output Presentation Stage,漏洞通过未验证的图片MIME类型在数据URL插值中导致HTML注入，属于输出展示不当引发的安全问题。,GHSA-2WW6-868G-2C56,Moderate,<= 2026.2.22,,CWE-79,https://github.com/openclaw/openclaw/security/advisories/GHSA-2ww6-868g-2c56,Vulnerability Link
14,Temporary path handling could write outside OpenClaw temp boundary,Resource Access Stage,漏洞涉及临时路径处理不当，可能导致写入超出指定边界，属于文件系统资源访问控制问题。,GHSA-33HM-CQ8R-WC49,Moderate,<= 2026.2.23,,CWE-22; CWE-284,https://github.com/openclaw/openclaw/security/advisories/GHSA-33hm-cq8r-wc49,Vulnerability Link
15,"Twitch allowFrom not enforced in optional plugin, unauthorized chat users can trigger agent pipeline",Authentication & Authorization Decision Stage,漏洞涉及未正确实施访问控制，导致未授权用户可触发代理流水线，属于权限判断缺失问题。,GHSA-33RQ-M5X2-FVGF,High,">= 2026.1.29, < 2026.2.1",,CWE-285,https://github.com/openclaw/openclaw/security/advisories/GHSA-33rq-m5x2-fvgf,Vulnerability Link
16,Discord DM reaction ingress missed dmPolicy/allowFrom checks in restricted setups,Authentication & Authorization Decision Stage,漏洞涉及在受限设置中遗漏了对DM策略和allowFrom的权限检查，属于授权判断缺失。,GHSA-354R-7MFH-7RH2,Moderate,<= 2026.2.24,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-354r-7mfh-7rh2,Vulnerability Link
17,Browser trace/download path symlink escape in temp output handling,Resource Access Stage,漏洞涉及符号链接导致的路径遍历，属于对文件资源的非预期访问,GHSA-36H3-7C54-J27R,Moderate,<= 2026.2.24,,CWE-22; CWE-59,https://github.com/openclaw/openclaw/security/advisories/GHSA-36h3-7c54-j27r,Vulnerability Link
18,Stored XSS in Control UI via unsanitized assistant name/avatar in inline script injection,Persistence & Output Presentation Stage,漏洞源于未对用户输入的助手名称/头像进行转义，直接嵌入到内联脚本中并在页面展示时执行，属于存储型XSS，主要发生在输出呈现阶段。,GHSA-37GC-85XM-2WW6,Moderate,<=2026.2.14,CVE-2026-27009,,https://github.com/openclaw/openclaw/security/advisories/GHSA-37gc-85xm-2ww6,Vulnerability Link
19,Unicode canonicalization drift in node metadata policy classification could broaden node allowlists,Input Ingress Stage,漏洞源于Unicode规范化不一致导致输入解析错误，影响策略分类和准入控制,GHSA-392F-GGF5-FP3C,Moderate,<= 2026.2.26,,CWE-176; CWE-436,https://github.com/openclaw/openclaw/security/advisories/GHSA-392f-ggf5-fp3c,Vulnerability Link
20,tools.exec.safeBins sort long-option abbreviation bypass can skip exec approval in allowlist mode,Authentication & Authorization Decision Stage,漏洞允许绕过执行审批机制，直接跳过了授权检查,GHSA-3C6H-G97W-FG78,High,<= 2026.2.22-2,,CWE-184; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-3c6h-g97w-fg78,Vulnerability Link
21,Opt-in insecure Control UI auth over plaintext HTTP could allow privileged access in affected releases,Authentication & Authorization Decision Stage,漏洞涉及认证机制在明文HTTP上被绕过，导致权限判断失效,GHSA-3CVX-236H-M9FJ,Moderate,<=2026.2.19-2,,CWE-285; CWE-319,https://github.com/openclaw/openclaw/security/advisories/GHSA-3cvx-236h-m9fj,Vulnerability Link
22,Cross-Site request forgery (CSRF) through loopback browser mutation endpoints,Authentication & Authorization Decision Stage,CSRF漏洞本质是绕过身份验证机制，在用户已认证的上下文中执行未授权操作，属于权限判断缺失或认证上下文滥用。,GHSA-3FQR-4CG8-H96Q,High,<=2026.1.24-3,CVE-2026-26317,CWE-352,https://github.com/openclaw/openclaw/security/advisories/GHSA-3fqr-4cg8-h96q,Vulnerability Link
23,system.run allowlist approval parsing missed PowerShell encoded-command wrappers,Input Ingress Stage,漏洞源于对PowerShell编码命令包装器的解析不充分，属于输入解析和规范化阶段的问题。,GHSA-3H2Q-J2V4-6W5R,Moderate,<= 2026.3.2,,CWE-184; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-3h2q-j2v4-6w5r,Vulnerability Link
24,Exec allowlist bypass via command substitution/backticks inside double quotes,Execution Stage,该漏洞通过命令替换绕过执行白名单，直接导致任意命令执行，属于执行阶段的命令注入问题。,GHSA-3HCM-GGVF-RCH5,High,<= 2026.2.1,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-3hcm-ggvf-rch5,Vulnerability Link
25,Hardlink alias checks could bypass workspace-only file boundaries in specific configurations,Resource Access Stage,漏洞涉及硬链接绕过工作区文件边界，直接导致对非授权文件资源的访问。,GHSA-3JX4-Q2M7-R496,High,<= 2026.2.24,,CWE-59; CWE-668,https://github.com/openclaw/openclaw/security/advisories/GHSA-3jx4-q2m7-r496,Vulnerability Link
26,Optional voice-call plugin: webhook verification may be bypassed behind certain proxy configurations,Authentication & Authorization Decision Stage,漏洞涉及身份验证绕过，属于认证决策阶段的问题。,GHSA-3M3Q-X3GJ-F79X,Moderate,< 2026.2.3,,CWE-287,https://github.com/openclaw/openclaw/security/advisories/GHSA-3m3q-x3gj-f79x,Vulnerability Link
27,Unified root-bound write hardening for browser output and related path-boundary flows,Resource Access Stage,漏洞涉及路径边界控制和符号链接解析，导致越界文件访问，属于资源访问阶段的问题。,GHSA-3PXQ-F3CP-JMXP,Moderate,<= 2026.3.1,,CWE-59; CWE-367,https://github.com/openclaw/openclaw/security/advisories/GHSA-3pxq-f3cp-jmxp,Vulnerability Link
28,OpenClaw exec allowlist safeBins short-option bypass could permit arbitrary file write,Execution Stage,漏洞涉及通过短选项绕过安全限制，导致任意文件写入，属于执行阶段的危险操作。,GHSA-3X3X-H76W-HP98,Moderate,<=2026.2.17,,CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-3x3x-h76w-hp98,Vulnerability Link
29,OpenClaw safeBins grep -e File Read Bypass (stdin-only policy bypass),Resource Access Stage,漏洞涉及绕过文件读取限制，直接导致任意文件访问,GHSA-3XFW-4PMR-4XC5,Moderate,<= 2026.2.19-2,,CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-3xfw-4pmr-4xc5,Vulnerability Link
30,Chrome --no-sandbox disabled OS-level browser sandbox in sandbox browser container,Execution Stage,该漏洞涉及禁用操作系统级沙箱，直接影响代码执行环境的安全隔离，属于执行阶段的沙箱逃逸问题。,GHSA-43X4-G22P-3HRQ,Moderate,<=2026.2.19-2,,CWE-693,https://github.com/openclaw/openclaw/security/advisories/GHSA-43x4-g22p-3hrq,Vulnerability Link
31,OC-28: Prevent shell injection in macOS keychain credential write,Execution Stage,该漏洞涉及shell命令注入（CWE-78），属于在执行阶段因未正确过滤用户输入而导致任意命令执行的问题。,GHSA-4564-PVR2-QQ4H,High,<=2026.2.13,CVE-2026-27487,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-4564-pvr2-qq4h,Vulnerability Link
32,"Browser navigation guard allowed non-network URL schemes, enabling authenticated browser-tool users to access file:// local files.",Resource Access Stage,漏洞允许通过非网络URL方案访问本地文件，属于对文件资源的越权访问。,GHSA-45CG-2683-GFMQ,Moderate,<= 2026.2.19-2,,CWE-610,https://github.com/openclaw/openclaw/security/advisories/GHSA-45cg-2683-gfmq,Vulnerability Link
33,safeBins stdin-only bypass via sort output and recursive grep flags,Execution Stage,漏洞涉及通过命令注入（CWE-78）和不完整的黑名单（CWE-184）绕过安全限制，直接导致命令执行。,GHSA-4685-C5CP-VP95,Low,<= 2026.2.17,,CWE-78; CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-4685-c5cp-vp95,Vulnerability Link
34,"Sandboxed sessions_spawn(runtime=""acp"") bypassed sandbox inheritance and allowed host ACP initialization",Authentication & Authorization Decision Stage,漏洞涉及沙箱继承绕过和权限控制失效，导致未授权的主机ACP初始化，属于权限判定错误。,GHSA-474H-PRJG-MMW3,High,<=2026.3.1,,CWE-269,https://github.com/openclaw/openclaw/security/advisories/GHSA-474h-prjg-mmw3,Vulnerability Link
35,Config writes could persist resolved ${VAR} secrets to disk,Persistence & Output Presentation Stage,漏洞导致解析后的敏感信息被持久化写入磁盘，属于数据保存阶段的敏感信息泄露问题。,GHSA-47Q7-97XP-M272,Moderate,< 2026.2.13,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-47q7-97xp-m272,Vulnerability Link
36,allowlist exec-guard bypass via env -S,Execution Stage,漏洞涉及通过环境变量绕过执行保护机制，直接导致命令或代码执行,GHSA-48WF-G7CP-GR3M,Moderate,<= 2026.2.22-2,,CWE-184; CWE-693,https://github.com/openclaw/openclaw/security/advisories/GHSA-48wf-g7cp-gr3m,Vulnerability Link
37,Discord `allowFrom` slug-collision authorization bypass,Authentication & Authorization Decision Stage,漏洞涉及授权绕过，核心问题在于权限判断错误,GHSA-4CQV-H74H-93J4,Moderate,<= 2026.2.21-2,,CWE-287,https://github.com/openclaw/openclaw/security/advisories/GHSA-4cqv-h74h-93j4,Vulnerability Link
38,non-default configuration: manually adding sort to tools.exec.safeBins could bypass allowlist approval via --compress-program,Execution Stage,漏洞通过向 tools.exec.safeBins 添加 sort 绕过 allowlist，导致执行任意命令，属于命令注入类问题,GHSA-4GC7-QCVF-38WG,Moderate,<= 2026.2.21-2,,CWE-78; CWE-184,https://github.com/openclaw/openclaw/security/advisories/GHSA-4gc7-qcvf-38wg,Vulnerability Link
39,Missing Webhook Authentication in Telnyx Provider Allows Unauthenticated Requests,Authentication & Authorization Decision Stage,漏洞核心在于缺少对Webhook请求的身份认证，导致未授权访问。,GHSA-4HG8-92X6-H2F3,High,<= 2026.2.13,CVE-2026-26319,CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-4hg8-92x6-h2f3,Vulnerability Link
40,Inbound allowlist policy bypass in voice-call extension (empty caller ID + suffix matching),Authentication & Authorization Decision Stage,漏洞涉及通过空主叫ID和后缀匹配绕过入站白名单策略，属于认证或授权决策被绕过的问题。,GHSA-4RJ2-GPMH-QQ5X,Critical,<= 2026.2.1,,CWE-287,https://github.com/openclaw/openclaw/security/advisories/GHSA-4rj2-gpmh-qq5x,Vulnerability Link
41,Incomplete IPv4 special-use SSRF blocking in web fetch guard,Resource Access Stage,漏洞涉及对特殊用途IPv4地址的SSRF防护不全，导致可能访问受限内部资源,GHSA-4RQQ-W8V4-7P47,Low,<= 2026.2.21-2,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-4rqq-w8v4-7p47,Vulnerability Link
42,Zalo group sender allowlist bypass permits unauthorized GROUP dispatch,Authentication & Authorization Decision Stage,漏洞涉及绕过发送者白名单机制，导致未授权用户可向群组发送消息，属于权限判断错误。,GHSA-534W-2VM4-89XR,Moderate,<= 2026.2.23,,CWE-284; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-534w-2vm4-89xr,Vulnerability Link
43,Unpaired device identity can bypass operator pairing and self-assign operator scopes with shared auth,Authentication & Authorization Decision Stage,漏洞涉及设备身份绕过操作员配对并自分配操作员权限，属于认证和授权判定错误。,GHSA-553V-F69R-656J,Moderate,>= 2026.2.22 <= 2026.2.24,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-553v-f69r-656j,Vulnerability Link
44,SSRF in Image Tool Remote Fetch,Resource Access Stage,该漏洞涉及服务器在获取远程图像时未正确限制URL，导致可访问内部资源，属于资源访问阶段的SSRF问题。,GHSA-56F2-HVWG-5743,High,<=2026.2.1,,CWE-918,https://github.com/openclaw/openclaw/security/advisories/GHSA-56f2-hvwg-5743,Vulnerability Link
45,OC-06: Arbitrary file read via $include directive,Resource Access Stage,漏洞通过$include指令导致任意文件读取，属于对文件资源的越权访问。,GHSA-56PC-6HVP-4GV4,High,<=2026.2.15,,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-56pc-6hvp-4gv4,Vulnerability Link
46,Hook auth rate limiter bypass via IPv4-mapped IPv6 client key variants,Authentication & Authorization Decision Stage,漏洞涉及认证过程中的速率限制绕过，属于身份验证决策阶段的问题。,GHSA-5847-RM3G-23MW,Moderate,<= 2026.2.21-2,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-5847-rm3g-23mw,Vulnerability Link
47,macOS companion app (beta): allowlist parsing mismatch for system.run shell chains,Authentication & Authorization Decision Stage,漏洞涉及allowlist解析不一致，导致授权决策错误，属于权限判断问题。,GHSA-5F9P-F3W2-FWCH,Low,<= 2026.2.21-2,,CWE-184; CWE-285,https://github.com/openclaw/openclaw/security/advisories/GHSA-5f9p-f3w2-fwch,Vulnerability Link
48,Control UI Static File Handler Follows Symlinks and Allows Out-of-Root File Read,Resource Access Stage,漏洞允许通过符号链接读取根目录外的文件，属于对文件资源的越界访问。,GHSA-5GHC-98WH-GWWF,Low,<=2026.2.21-2,,CWE-22; CWE-59,https://github.com/openclaw/openclaw/security/advisories/GHSA-5ghc-98wh-gwwf,Vulnerability Link
49,safeBins static default trusted dirs allow writable-dir binary hijack (`jq`),Resource Access Stage,漏洞涉及对可写目录中的二进制文件（如jq）被劫持，属于对本地资源的非预期访问和篡改。,GHSA-5GJ7-JF77-Q2Q2,Moderate,<= 2026.2.23,,CWE-426; CWE-829,https://github.com/openclaw/openclaw/security/advisories/GHSA-5gj7-jf77-q2q2,Vulnerability Link
50,Shell-env fallback trusted startup env and could execute attacker-influenced login-shell paths,Execution Stage,漏洞涉及执行受攻击者影响的登录 shell 路径，属于命令执行类问题,GHSA-5H2C-8V84-QPVR,Moderate,<=2026.2.21-2,,CWE-15; CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-5h2c-8v84-qpvr,Vulnerability Link
51,BlueBubbles beta plugin webhook auth hardening (remove passwordless fallback),Authentication & Authorization Decision Stage,漏洞涉及认证缺失（CWE-306），在 webhook 调用时缺乏密码验证，属于身份校验缺失问题。,GHSA-5MX2-2MGW-X8RM,Moderate,<=2026.2.19-2,,CWE-306,https://github.com/openclaw/openclaw/security/advisories/GHSA-5mx2-2mgw-x8rm,Vulnerability Link
52,Windows system.run approval mismatch on cmd.exe /c trailing arguments,Authentication & Authorization Decision Stage,漏洞涉及命令执行前的权限审批不匹配，属于授权决策错误,GHSA-5V6X-RFC3-7QFR,Moderate,<=2026.2.19-2,,CWE-88; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-5v6x-rfc3-7qfr,Vulnerability Link
53,Unsanitized session ID enables path traversal in transcript file operations,Resource Access Stage,漏洞利用未校验的会话ID进行路径遍历，直接导致对文件资源的越权访问。,GHSA-5XFQ-5MR7-426Q,Moderate,<= 2026.2.9,,CWE-22,https://github.com/openclaw/openclaw/security/advisories/GHSA-5xfq-5mr7-426q,Vulnerability Link
54,Runtime /debug override path accepted prototype-reserved keys,Input Ingress Stage,漏洞涉及对输入路径中原型污染键的不当处理，属于外部输入解析和规范化问题。,GHSA-62F6-MRCJ-V8H5,Low,<= 2026.2.19-2,,CWE-1321,https://github.com/openclaw/openclaw/security/advisories/GHSA-62f6-mrcj-v8h5,Vulnerability Link
55,Arbitrary transcript path file write via gateway sessionFile,Resource Access Stage,漏洞允许通过会话文件写入任意路径，属于对文件资源的越权访问和写入。,GHSA-64QX-VPXX-MVQF,High,< 2026.2.12,,CWE-23; CWE-73; CWE-78; CWE-284,https://github.com/openclaw/openclaw/security/advisories/GHSA-64qx-vpxx-mvqf,Vulnerability Link
56,Hook transform path containment missed symlink-resolved escapes,Resource Access Stage,漏洞涉及符号链接解析绕过导致的路径逃逸，属于对文件资源的非预期访问。,GHSA-659F-22XC-98F2,Moderate,<=2026.2.21-2,,CWE-94,https://github.com/openclaw/openclaw/security/advisories/GHSA-659f-22xc-98f2,Vulnerability Link
57,Shell command injection in exec allowlist mode via unquoted heredoc expansion,Execution Stage,漏洞通过未加引号的heredoc扩展在命令执行阶段注入恶意shell命令，直接导致任意代码执行。,GHSA-65RX-FVH6-R4H2,High,<= 2026.2.19-2,CVE-2026-27209,CWE-78; CWE-116; CWE-183,https://github.com/openclaw/openclaw/security/advisories/GHSA-65rx-fvh6-r4h2,Vulnerability Link
58,OpenClaw safeBins file-existence oracle information disclosure,Persistence & Output Presentation Stage,该漏洞通过文件存在性检查导致信息泄露，属于敏感信息在输出或呈现阶段的不当暴露。,GHSA-6C9J-X93C-RW6J,Moderate,<=2026.2.17,,CWE-203,https://github.com/openclaw/openclaw/security/advisories/GHSA-6c9j-x93c-rw6j,Vulnerability Link
59,ACPX Windows wrapper shell fallback allowed cwd injection in specific paths,Execution Stage,CWE-78 表示 OS 命令注入，属于命令执行阶段,GHSA-6F6J-WX9W-FF4J,High,">= 2026.2.26, < 2026.3.1",,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-6f6j-wx9w-ff4j,Vulnerability Link
60,macOS beta onboarding exposed PKCE verifier via OAuth state,Persistence & Output Presentation Stage,PKCE verifier 通过 OAuth state 参数被暴露，属于敏感信息在输出或返回过程中泄露的问题。,GHSA-6G25-PC82-VFWP,Low,<=2026.2.24,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-6g25-pc82-vfwp,Vulnerability Link
61,OC-07: Session tool visibility hardening and Telegram webhook secret fallback,Persistence & Output Presentation Stage,漏洞涉及敏感信息（如会话工具可见性、Telegram webhook密钥）在输出或持久化过程中未充分保护，导致信息泄露风险。,GHSA-6HF3-MHGC-CM65,High,<=2026.2.14,CVE-2026-27004,CWE-209; CWE-346,https://github.com/openclaw/openclaw/security/advisories/GHSA-6hf3-mhgc-cm65,Vulnerability Link
62,allow-always wrapper persistence could bypass future approvals and enable command execution,Persistence & Output Presentation Stage,漏洞涉及allow-always wrapper的持久化机制，绕过后续审批，属于持久化阶段的安全问题。,GHSA-6J27-PC5C-M8W8,Moderate,<= 2026.2.21-2,,CWE-78; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-6j27-pc5c-m8w8,Vulnerability Link
63,fetch-guard forwards custom authorization headers across cross-origin redirects,Resource Access Stage,漏洞涉及跨域重定向时错误地携带自定义授权头，导致敏感凭据被发送到非预期的外部资源，属于资源访问控制不当。,GHSA-6MGF-V5J7-45CR,High,<= 2026.3.2,,CWE-116; CWE-184; CWE-522,https://github.com/openclaw/openclaw/security/advisories/GHSA-6mgf-v5j7-45cr,Vulnerability Link
64,system.run shell-wrapper positional argv carriers could execute hidden commands under misleading approval text,Authentication & Authorization Decision Stage,漏洞涉及通过误导性审批文本绕过授权决策，导致未授权命令执行。,GHSA-6RCP-VXWF-3MFP,Moderate,<= 2026.2.23,,CWE-436; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-6rcp-vxwf-3mfp,Vulnerability Link
65,hooks count non-POST requests toward auth lockout,Authentication & Authorization Decision Stage,漏洞涉及认证失败计数逻辑错误，导致非POST请求也被计入认证锁定，属于认证决策阶段的问题。,GHSA-6RMX-GVVG-VH6J,Moderate,<= 2026.3.2,,CWE-307; CWE-799,https://github.com/openclaw/openclaw/security/advisories/GHSA-6rmx-gvvg-vh6j,Vulnerability Link
66,Node exec approvals could be replayed across nodes,Authentication & Authorization Decision Stage,漏洞涉及执行审批在节点间被重放，核心问题是授权决策阶段未能正确验证请求的合法性与唯一性。,GHSA-6X2M-HQFW-HVPJ,Moderate,<= 2026.2.22-2,,CWE-285; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-6x2m-hqfw-hvpj,Vulnerability Link
67,ACP resource_link metadata prompt interpolation allowed prompt-injection content via title/URI fields,Execution Stage,漏洞涉及元数据中的提示插值，导致攻击者可通过标题或URI字段注入恶意内容，从而在系统执行提示时触发非预期行为，属于代码或模板执行阶段的问题。,GHSA-74XJ-763F-264W,Moderate,<=2026.2.19-2,CVE-2026-27165,CWE-20; CWE-94,https://github.com/openclaw/openclaw/security/advisories/GHSA-74xj-763f-264w,Vulnerability Link
68,skills-install-download: tar.bz2 extraction bypassed archive safety parity checks (local DoS),Resource Access Stage,漏洞涉及解压归档文件时绕过安全检查，导致对本地资源的不当访问或消耗，属于资源访问阶段的问题。,GHSA-77HF-7FQF-F227,Moderate,<=2026.3.1,,CWE-400; CWE-409,https://github.com/openclaw/openclaw/security/advisories/GHSA-77hf-7fqf-f227,Vulnerability Link
69,Slack integration hardening: prevent channel metadata from influencing system prompts,Execution Stage,漏洞涉及外部输入（channel metadata）影响系统提示，可能导致代码或命令执行，属于解释器或模板执行阶段的问题。,GHSA-782P-5FR5-7FJ8,Low,< 2026.2.3,CVE-2026-24764,CWE-74; CWE-94,https://github.com/openclaw/openclaw/security/advisories/GHSA-782p-5fr5-7fj8,Vulnerability Link
70,"Signal reaction-only status events could, in limited cases, be enqueued before access checks",Authentication & Authorization Decision Stage,漏洞涉及在执行访问控制检查前就将状态事件入队，属于权限判断时机错误。,GHSA-792Q-QW95-F446,Moderate,<= 2026.2.24,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-792q-qw95-f446,Vulnerability Link
71,exec allowlist/safeBins policy-runtime mismatch via env -S wrapper interpretation,Execution Stage,漏洞涉及通过环境变量绕过执行白名单限制，直接导致未授权命令执行,GHSA-796M-2973-WC5Q,High,<= 2026.2.22-2,,CWE-436,https://github.com/openclaw/openclaw/security/advisories/GHSA-796m-2973-wc5q,Vulnerability Link
72,macOS optional allowlist basename matching could bypass path-based policy,Resource Access Stage,漏洞涉及路径匹配绕过导致访问控制失效，属于资源访问阶段的越权访问问题。,GHSA-7F4Q-9RQH-X36P,Moderate,<=2026.2.21-2,,CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-7f4q-9rqh-x36p,Vulnerability Link
73,Command injection via Windows shell fallback in Lobster tool execution,Execution Stage,漏洞涉及通过命令注入在工具执行阶段直接执行任意系统命令,GHSA-7FCC-CW49-XM78,Moderate,<= 2026.2.17,,CWE-78,https://github.com/openclaw/openclaw/security/advisories/GHSA-7fcc-cw49-xm78,Vulnerability Link
74,non-default autoAllowSkills setting could bypass on-miss exec prompt,Authentication & Authorization Decision Stage,漏洞涉及权限判断错误，导致非默认配置下可绕过执行提示，属于授权决策阶段的问题。,GHSA-7FF8-XJH3-MGH6,Moderate,<=2026.2.22-2,,CWE-266; CWE-863,https://github.com/openclaw/openclaw/security/advisories/GHSA-7ff8-xjh3-mgh6,Vulnerability Link
75,ACP permission auto-approval bypass via untrusted tool metadata,Authentication & Authorization Decision Stage,漏洞涉及权限自动批准绕过，核心问题在于授权决策阶段未正确验证工具元数据的可信性。,GHSA-7JX5-9FJG-HP4M,Moderate,<= 2026.2.22-2,,,https://github.com/openclaw/openclaw/security/advisories/GHSA-7jx5-9fjg-hp4m,Vulnerability Link
76,OpenClaw macOS deep link confirmation truncation can conceal executed agent message,Persistence & Output Presentation Stage,漏洞涉及向用户展示的确认消息被截断，导致恶意操作被隐藏，属于输出展示不当引发的安全问题。,GHSA-7Q2J-C4Q5-RM27,High,">= 2026.2.6-0, <= 2026.2.13",CVE-2026-26320,CWE-451,https://github.com/openclaw/openclaw/security/advisories/GHSA-7q2j-c4q5-rm27,Vulnerability Link
